Ref,Val,Package,PosX,PosY,Rot,Side
"D_out_r3_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.910000,-111.220000,0.000000,top
"D_out_r3_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.910000,-118.840000,0.000000,top
"D_out_ram_a_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",64.730000,-118.840000,0.000000,top
"D_out_ram_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.870000,-111.220000,0.000000,top
"D_out_ram_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.870000,-118.840000,0.000000,top
"D_out_s1_0","LED orange 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",85.050000,-144.240000,0.000000,top
"D_out_s2_0","LED orange 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",92.670000,-144.240000,0.000000,top
"D_out_s3_0","LED orange 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",100.290000,-144.240000,0.000000,top
"D_out_s4_0","LED orange 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.910000,-144.240000,0.000000,top
"D_out_s5_0","LED orange 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",115.530000,-144.240000,0.000000,top
"D_out_s6_0","LED orange 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",123.150000,-144.240000,0.000000,top
"D_out_sysbus_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",206.970000,-116.300000,0.000000,top
"D_out_sysbus_1","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",196.810000,-116.300000,0.000000,top
"D_out_sysbus_2","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",186.650000,-116.300000,0.000000,top
"D_out_sysbus_3","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",176.490000,-116.300000,0.000000,top
"D_out_sysbus_4","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",166.330000,-116.300000,0.000000,top
"D_out_sysbus_5","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",156.170000,-116.300000,0.000000,top
"D_out_sysbus_6","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",146.010000,-116.300000,0.000000,top
"D_out_sysbus_7","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",135.850000,-116.300000,0.000000,top
