Designator,Comment,Footprint,JLCPCB Part #（optional）
R_out_clkr_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_clkw_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_flags_C_out_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_flags_eq_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_flags_gt_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_flags_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_flags_z_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_iar_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_iar_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_ir_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_is_bus1_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_r0_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_r0_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_r1_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_r1_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_r2_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_r2_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_r3_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_r3_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_ram_a_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_ram_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_ram_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_s1_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_s2_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_s3_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_s4_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_s5_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_s6_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_sysbus_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_sysbus_1,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_sysbus_2,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_sysbus_3,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_sysbus_4,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_sysbus_5,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_sysbus_6,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_sysbus_7,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_temp_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_vcc_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_eeprom_spi_clk_pulldown_0,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C723393
R_eeprom_spi_clk_pullup_0,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C723393
R_PROG_B_0,820R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C101874
R_eeprom_hold_0,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C332266
R_eeprom_s_0,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C332266
R_eeprom_w_0,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C332266
R_HSWAP_EN_0,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C332266
R_M_0,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C332266
R_VS_0,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C332266
R_VS_1,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C332266
R_VS_2,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C332266
R_clk_oe_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_acc_r_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_acc_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_bus1_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_clk_manual_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_iar_r_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_iar_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_ir_r_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_ir_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_is_bus1_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_is_clk_external_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_is_clk_high_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_is_clk_low_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_is_clk_manual_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_is_clk_veryhigh_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_manual_input_o_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_manual_input_o_1,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_manual_input_o_2,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_manual_input_o_3,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_manual_input_o_4,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_manual_input_o_5,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_manual_input_o_6,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_manual_input_o_7,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_manual_input_r_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_r0_r_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_r0_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_r1_r_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_r1_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_r2_r_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_r2_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_r3_r_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
R_in_r3_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C188361
