"null","Sourced","Placed","References","Value","Footprint"
28,"✓","","R_d_in_is_clk_low_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
29,"✓","","R_d_in_is_clk_manual_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
30,"✓","","R_d_in_is_clk_veryhigh_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
31,"✓","","R_d_in_manual_input_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
32,"✓","","R_d_in_none_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
33,"✓","","R_d_in_r0_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
34,"✓","","R_d_in_r0_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
35,"✓","","R_d_in_r1_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
36,"✓","","R_d_in_r1_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
37,"✓","","R_d_in_r2_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
38,"✓","","R_d_in_r2_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
39,"✓","","R_d_in_r3_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
40,"✓","","R_d_in_r3_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
41,"✓","","R_d_in_ram_a_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
42,"✓","","R_d_in_ram_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
43,"✓","","R_d_in_ram_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
44,"✓","","R_d_in_read_reg_en_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
45,"✓","","R_d_in_temp_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
46,"✓","","R_d_in_write_reg_en_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
47,"✓","","R_out_acc_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
48,"✓","","R_out_acc_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
49,"✓","","R_out_bus1_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
50,"✓","","R_out_can_read_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
51,"✓","","R_out_can_write_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
52,"✓","","R_out_clk_internal_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
53,"✓","","R_out_clkc_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
54,"✓","","R_out_clkr_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
55,"✓","","R_out_clkw_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
56,"✓","","R_out_flags_C_out_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
57,"✓","","R_out_flags_eq_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
58,"✓","","R_out_flags_gt_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
59,"✓","","R_out_flags_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
60,"✓","","R_out_flags_z_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
61,"✓","","R_out_iar_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
62,"✓","","R_out_iar_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
63,"✓","","R_out_ir_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
64,"✓","","R_out_is_bus1_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
65,"✓","","R_out_r0_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
66,"✓","","R_out_r0_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
67,"✓","","R_out_r1_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
68,"✓","","R_out_r1_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
69,"✓","","R_out_r2_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
70,"✓","","R_out_r2_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
71,"✓","","R_out_r3_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
72,"✓","","R_out_r3_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
73,"✓","","R_out_ram_a_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
74,"✓","","R_out_ram_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
75,"✓","","R_out_ram_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
76,"✓","","R_out_s1_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
77,"✓","","R_out_s2_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
78,"✓","","R_out_s3_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
79,"✓","","R_out_s4_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
80,"✓","","R_out_s5_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
81,"✓","","R_out_s6_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
82,"✓","","R_out_sysbus_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
83,"✓","","R_out_sysbus_1","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
84,"✓","","R_out_sysbus_2","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
85,"✓","","R_out_sysbus_3","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
86,"✓","","R_out_sysbus_4","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
87,"✓","","R_out_sysbus_5","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
88,"✓","","R_out_sysbus_6","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
89,"✓","","R_out_sysbus_7","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
90,"✓","","R_out_temp_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
91,"✓","","R_vcc_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
92,"✓","","R_eeprom_spi_clk_pulldown_0","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
93,"✓","","R_eeprom_spi_clk_pullup_0","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
94,"✓","","R_PROG_B_0","820R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
95,"✓","","C_eeprom_vcc_0",104,"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
96,"✓","","R_eeprom_hold_0","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
97,"✓","","R_eeprom_s_0","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
98,"✓","","R_eeprom_w_0","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
99,"✓","","R_HSWAP_EN_0","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
100,"✓","","R_M_0","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
101,"✓","","R_VS_0","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
102,"✓","","R_VS_1","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
103,"✓","","R_VS_2","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
104,"✓","","R_clk_oe_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
105,"✓","","R_in_acc_r_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
106,"✓","","R_in_acc_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
107,"✓","","R_in_bus1_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
108,"✓","","R_in_clk_manual_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
109,"✓","","R_in_iar_r_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
110,"✓","","R_in_iar_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
111,"✓","","R_in_ir_r_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
112,"✓","","R_in_ir_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
113,"✓","","R_in_is_bus1_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
114,"✓","","R_in_is_clk_external_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
115,"✓","","R_in_is_clk_high_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
116,"✓","","R_in_is_clk_low_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
117,"✓","","R_in_is_clk_manual_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
118,"✓","","R_in_is_clk_veryhigh_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
119,"✓","","R_in_manual_input_o_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
120,"✓","","R_in_manual_input_o_1","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
121,"✓","","R_in_manual_input_o_2","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
122,"✓","","R_in_manual_input_o_3","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
123,"✓","","R_in_manual_input_o_4","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
124,"✓","","R_in_manual_input_o_5","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
125,"✓","","R_in_manual_input_o_6","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
126,"✓","","R_in_manual_input_o_7","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
127,"✓","","R_in_manual_input_r_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
128,"✓","","R_in_r0_r_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
129,"✓","","R_in_r0_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
130,"✓","","R_in_r1_r_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
131,"✓","","R_in_r1_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
132,"✓","","R_in_r2_r_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
133,"✓","","R_in_r2_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
134,"✓","","R_in_r3_r_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
135,"✓","","R_in_r3_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
136,"✓","","R_in_ram_a_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
137,"✓","","R_in_ram_r_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
138,"✓","","R_in_ram_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
139,"✓","","R_in_read_reg_en_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
140,"✓","","R_in_temp_w_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
141,"✓","","R_in_write_reg_en_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
142,"✓","","R_reset_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
143,"✓","","U_pwr_vcc_core_0","AMS1117-1.2","SOT-223-3_TabPin2"
144,"✓","","U_pwr_aux_0","AMS1117-2.5","SOT-223-3_TabPin2"
145,"✓","","U_pwr_vcc_0","AMS1117-3.3","SOT-223-3_TabPin2"
146,"✓","","J_DONE_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
147,"✓","","J_DOUT_BUSY_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
148,"✓","","J_INIT_B_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
149,"✓","","J_P29_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
150,"✓","","J_P31_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
151,"✓","","J_P36_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
152,"✓","","J_P48_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
153,"✓","","J_P78_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
154,"✓","","J_P84_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
155,"✓","","J_P101_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
156,"✓","","J_P107_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
157,"✓","","J_P111_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
158,"✓","","J_P114_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
159,"✓","","J_P128_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
160,"✓","","J_P129_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
161,"✓","","J_PROG_B_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
162,"✓","","J_TCK_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
163,"✓","","J_TDI_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
164,"✓","","J_TDO_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
165,"✓","","J_TMS_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
166,"✓","","J_VCC_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
167,"✓","","J_VCC_aux_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
168,"✓","","J_VCC_core_0","Conn_01x01_Male","SolderWirePad_1x01_SMD_1x2mm"
169,"✓","","J_clk_0","Conn_01x01_Male","PinHeader_1x01_P2.54mm_Vertical"
170,"✓","","J_GND_0","Conn_01x01_Male","PinHeader_1x01_P2.54mm_Vertical"
171,"✓","","J_OUT_USART1_TX_0","Conn_01x01_Male","PinHeader_1x01_P2.54mm_Vertical"
172,"✓","","X_clk_0","FTO50,000MS7-3.3v","Oscillator_SMD_EuroQuartz_XO91-4Pin_7.0x5.0mm_HandSoldering"
173,"✓","","F_pwr_0","Fuse 3.3V / 2A","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
174,"✓","","JP_SPI_Direct_PRG_0","Jumper_2_Bridged","PinHeader_1x02_P2.54mm_Vertical"
175,"✓","","D_out_flags_z_0","LED blue 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
176,"✓","","D_in_acc_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
177,"✓","","D_in_bus1_one_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
178,"✓","","D_in_bus1_ps_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
179,"✓","","D_in_iar_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
180,"✓","","D_in_ir_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
181,"✓","","D_in_is_clk_external_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
182,"✓","","D_in_is_clk_high_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
183,"✓","","D_in_is_clk_low_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
184,"✓","","D_in_is_clk_manual_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
185,"✓","","D_in_is_clk_veryhigh_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
186,"✓","","D_in_manual_input_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
187,"✓","","D_in_none_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
188,"✓","","D_in_r0_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
189,"✓","","D_in_r1_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
190,"✓","","D_in_r2_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
191,"✓","","D_in_r3_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
192,"✓","","D_in_ram_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
193,"✓","","D_out_acc_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
194,"✓","","D_out_bus1_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
195,"✓","","D_out_can_read_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
196,"✓","","D_out_can_write_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
197,"✓","","D_out_clkr_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
198,"✓","","D_out_flags_eq_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
199,"✓","","D_out_iar_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
200,"✓","","D_out_is_bus1_w_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
201,"✓","","D_out_r0_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
202,"✓","","D_out_r1_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
203,"✓","","D_out_r2_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
204,"✓","","D_out_r3_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
205,"✓","","D_out_ram_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
206,"✓","","D_vcc_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
207,"✓","","D_out_s1_0","LED orange 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
208,"✓","","D_out_s2_0","LED orange 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
209,"✓","","D_out_s3_0","LED orange 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
210,"✓","","D_out_s4_0","LED orange 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
211,"✓","","D_out_s5_0","LED orange 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
212,"✓","","D_out_s6_0","LED orange 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
213,"✓","","D_in_acc_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
214,"✓","","D_in_iar_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
215,"✓","","D_in_ir_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
216,"✓","","D_in_is_bus1_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
217,"✓","","D_in_r0_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
218,"✓","","D_in_r1_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
219,"✓","","D_in_r2_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
220,"✓","","D_in_r3_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
221,"✓","","D_in_ram_a_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
222,"✓","","D_in_ram_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
223,"✓","","D_in_read_reg_en_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
224,"✓","","D_in_temp_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
225,"✓","","D_in_write_reg_en_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
226,"✓","","D_out_acc_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
227,"✓","","D_out_clkw_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
228,"✓","","D_out_flags_C_out_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
229,"✓","","D_out_flags_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
230,"✓","","D_out_iar_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
231,"✓","","D_out_ir_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
232,"✓","","D_out_r0_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
233,"✓","","D_out_r1_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
234,"✓","","D_out_r2_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
235,"✓","","D_out_r3_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
236,"✓","","D_out_ram_a_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
237,"✓","","D_out_ram_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
238,"✓","","D_out_sysbus_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
239,"✓","","D_out_sysbus_1","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
240,"✓","","D_out_sysbus_2","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
241,"✓","","D_out_sysbus_3","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
242,"✓","","D_out_sysbus_4","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
243,"✓","","D_out_sysbus_5","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
244,"✓","","D_out_sysbus_6","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
245,"✓","","D_out_sysbus_7","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
246,"✓","","D_out_temp_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
247,"✓","","D_in_clk_manual_0","LED yellow 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
248,"✓","","D_out_clk_internal_0","LED yellow 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
249,"✓","","D_out_clkc_0","LED yellow 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
250,"✓","","D_out_flags_gt_0","LED yellow 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
251,"✓","","U_eeprom_0","M25P16-VMN3PB","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm"
